,,timestamp,duration,number_of_trees,training_rmse,training_mae,training_deviance
0,,2019-04-11 18:50:22, 0.487 sec,0.0,,,
1,,2019-04-11 18:50:22, 0.496 sec,1.0,0.5889370482885644,0.34684684684684686,0.34684684684684686
2,,2019-04-11 18:50:22, 0.503 sec,2.0,0.5309992723843671,0.296875,0.2819602272727273
3,,2019-04-11 18:50:22, 0.510 sec,3.0,0.5165898560415983,0.29910714285714285,0.26686507936507936
4,,2019-04-11 18:50:22, 0.516 sec,4.0,0.5045302450825647,0.30277221108884433,0.2545507682030729
5,,2019-04-11 18:50:22, 0.522 sec,5.0,0.48908445044499516,0.30246566791510615,0.2392035996670829
6,,2019-04-11 18:50:22, 0.529 sec,6.0,0.4875540644855683,0.31651487553126895,0.23770896579639772
7,,2019-04-11 18:50:22, 0.535 sec,7.0,0.47108199744789014,0.31307829181494673,0.22191824831949397
8,,2019-04-11 18:50:22, 0.541 sec,8.0,0.4689188359668843,0.3187416163648559,0.21988487472453774
9,,2019-04-11 18:50:22, 0.547 sec,9.0,0.4714491443667251,0.3269043456543458,0.2222642957241172
10,,2019-04-11 18:50:22, 0.553 sec,10.0,0.46782777448534124,0.33313871635610787,0.2188628265799073
11,,2019-04-11 18:50:22, 0.559 sec,11.0,0.46184705797650544,0.33373070996208704,0.2133027049615536
12,,2019-04-11 18:50:22, 0.567 sec,12.0,0.4540354061258613,0.32996685117354424,0.2061481500158758
13,,2019-04-11 18:50:22, 0.573 sec,13.0,0.4534414637296585,0.33355292397430114,0.20560916102929522
