,model_id,mean_residual_deviance,rmse,mse,mae,rmsle
0,StackedEnsemble_BestOfFamily_AutoML_20190411_185021,0.17082597741910982,0.4133109935860765,0.17082597741910982,0.3409385315378848,0.16828079400466325
1,GBM_grid_1_AutoML_20190411_185021_model_8,0.17104826387814415,0.4135798156077545,0.17104826387814415,0.3464458109091437,0.16866409150758782
2,StackedEnsemble_AllModels_AutoML_20190411_185021,0.17122395982766092,0.41379216984817496,0.17122395982766092,0.3447479646431008,0.1682561836201313
3,GBM_grid_1_AutoML_20190411_185021_model_18,0.17382662906982554,0.4169252080047758,0.17382662906982554,0.356466971360428,0.16960250367487914
4,GBM_grid_1_AutoML_20190411_185021_model_19,0.17422552605584493,0.4174033134222163,0.17422552605584493,0.3458759260616406,0.17025813187558142
5,GBM_5_AutoML_20190411_185021,0.17429569145222698,0.4174873548411101,0.17429569145222698,0.35338141231269266,0.17008334704369082
6,GBM_1_AutoML_20190411_185021,0.17473328937029714,0.41801111153927134,0.17473328937029714,0.33849702519969,0.1709716057898279
7,GBM_grid_1_AutoML_20190411_185021_model_4,0.1749330151585339,0.4182499434052967,0.1749330151585339,0.3570689875453333,0.1702000391752333
8,DeepLearning_1_AutoML_20190411_185021,0.17546145091156198,0.4188811894935866,0.17546145091156198,0.3542699514616674,0.17108488499668142
9,DeepLearning_grid_1_AutoML_20190411_185021_model_1,0.17645864309309872,0.4200698074047916,0.17645864309309872,0.3380268552076545,0.17117831556651336
10,DRF_1_AutoML_20190411_185021,0.17742247679300946,0.4212154754908816,0.17742247679300946,0.3311646713847253,0.1720984132578963
11,DeepLearning_grid_1_AutoML_20190411_185021_model_4,0.17885565765365985,0.4229132980336039,0.17885565765365985,0.3721367732227868,0.17355829851008314
12,GBM_2_AutoML_20190411_185021,0.17938387712787626,0.42353733852858383,0.17938387712787626,0.34025083379869736,0.17270026082710607
13,GBM_grid_1_AutoML_20190411_185021_model_5,0.18009397959447426,0.4243748102732704,0.18009397959447426,0.3558028739329145,0.17307621751065466
14,GBM_4_AutoML_20190411_185021,0.1801857276447396,0.4244828944077011,0.1801857276447396,0.3395169425088513,0.17305804608517492
15,DeepLearning_grid_1_AutoML_20190411_185021_model_7,0.18022116647124206,0.4245246358825859,0.18022116647124206,0.34179029472575617,0.17109238553530468
16,GBM_3_AutoML_20190411_185021,0.18198640966072654,0.426598651733367,0.18198640966072654,0.3453435915490841,0.17396792007587267
17,GBM_grid_1_AutoML_20190411_185021_model_14,0.18304860585591973,0.4278418000335168,0.18304860585591973,0.35569133450777596,0.17471878190826712
18,DeepLearning_grid_1_AutoML_20190411_185021_model_2,0.18382066083823867,0.4287431175403736,0.18382066083823867,0.34727762323205,0.1746800566424487
19,GLM_grid_1_AutoML_20190411_185021_model_1,0.1840746167483606,0.4290391785703966,0.1840746167483606,0.3797592223457667,0.17634265443438327
20,GBM_grid_1_AutoML_20190411_185021_model_10,0.18617197188088933,0.43147650211904864,0.18617197188088933,0.3413536039336973,0.1760864241785007
21,XRT_1_AutoML_20190411_185021,0.18657154115937527,0.43193927948193744,0.18657154115937527,0.3333081736213434,0.17616898279058746
22,GBM_grid_1_AutoML_20190411_185021_model_6,0.19033616615425103,0.4362753329656067,0.19033616615425103,0.3933380981831861,0.17745180742677188
23,DeepLearning_grid_1_AutoML_20190411_185021_model_8,0.19035052193010504,0.4362917853112811,0.19035052193010504,0.329990341577959,0.17430878984098302
24,GBM_grid_1_AutoML_20190411_185021_model_2,0.19166873267937146,0.4377998774318826,0.19166873267937146,0.3937004055958904,0.1779309198642081
25,GBM_grid_1_AutoML_20190411_185021_model_15,0.19180650638144214,0.437957196974136,0.19180650638144214,0.3946441754232805,0.17804957601756322
26,GBM_grid_1_AutoML_20190411_185021_model_9,0.19273215349621206,0.4390127031148552,0.19273215349621206,0.39559820473790624,0.17845648332892045
27,DeepLearning_grid_1_AutoML_20190411_185021_model_3,0.1946033865270821,0.44113873841126455,0.1946033865270821,0.3600625763602622,0.1805396917171563
28,GBM_grid_1_AutoML_20190411_185021_model_12,0.19763381551808476,0.4445602495928811,0.19763381551808476,0.4017048994261607,0.1809089646441248
29,GBM_grid_1_AutoML_20190411_185021_model_17,0.19809764559084986,0.4450816167747775,0.19809764559084986,0.40204838237740975,0.18111445785445068
30,DeepLearning_grid_1_AutoML_20190411_185021_model_11,0.1993481281456002,0.446484185773248,0.1993481281456002,0.3437769998102552,0.18118385685317429
31,DeepLearning_grid_1_AutoML_20190411_185021_model_9,0.20222166420372326,0.4496906316610601,0.20222166420372326,0.3537776420940932,0.18550235775451945
32,GBM_grid_1_AutoML_20190411_185021_model_16,0.20256826874697426,0.4500758477712109,0.20256826874697426,0.40708283163123693,0.1833030990765193
33,GBM_grid_1_AutoML_20190411_185021_model_11,0.20309057071814293,0.45065571195552706,0.20309057071814293,0.407413311031839,0.1835334727175232
34,DeepLearning_grid_1_AutoML_20190411_185021_model_10,0.2165254649535797,0.4653229684354509,0.2165254649535797,0.3621576113981887,0.19309207837106665
35,DeepLearning_grid_1_AutoML_20190411_185021_model_5,0.21734973436668206,0.4662078231504509,0.21734973436668206,0.3595297894939221,0.20334241188486168
36,DeepLearning_grid_1_AutoML_20190411_185021_model_6,0.2191901509512616,0.4681774780478676,0.2191901509512616,0.3775675594740822,0.20239949344897684
37,GBM_grid_1_AutoML_20190411_185021_model_7,0.21931024763647694,0.4683057202687973,0.21931024763647694,0.3606456115506948,0.1946834223477092
38,DeepLearning_grid_1_AutoML_20190411_185021_model_12,0.22205647845677187,0.4712286901885027,0.22205647845677187,0.339415908380161,0.19203613472436054
39,GBM_grid_1_AutoML_20190411_185021_model_3,0.2238746808641841,0.4731539716246542,0.2238746808641841,0.3778241580462519,0.197042288696572
40,GBM_grid_1_AutoML_20190411_185021_model_1,0.2314526024122389,0.4810952113794512,0.2314526024122389,0.3535664112476029,0.2001993206763196
41,GBM_grid_1_AutoML_20190411_185021_model_13,0.2401216458081315,0.4900220870615237,0.2401216458081315,0.3821700477768567,0.20535962589183746
42,DeepLearning_grid_1_AutoML_20190411_185021_model_13,0.24653693303929955,0.4965248564163727,0.24653693303929955,0.38047327352489096,0.2079725749738049
