,model_id,mean_residual_deviance,rmse,mse,mae,rmsle
0,StackedEnsemble_BestOfFamily_AutoML_20190411_195635,0.16927019590600947,0.4114245932197169,0.16927019590600947,0.3361157381682703,0.16745218685023466
1,StackedEnsemble_AllModels_AutoML_20190411_195635,0.17074786706149572,0.4132164893388159,0.17074786706149572,0.33780342084082265,0.16827337444660911
2,DeepLearning_grid_1_AutoML_20190411_195635_model_7,0.17210656793043114,0.4148572862207329,0.17210656793043114,0.3372938039981022,0.16926202470112314
3,DeepLearning_grid_1_AutoML_20190411_195635_model_9,0.1737767052848955,0.4168653323135608,0.1737767052848955,0.3415486666402563,0.1706397946032763
4,GBM_5_AutoML_20190411_195635,0.17495708973649324,0.4182787225481273,0.17495708973649324,0.3537239141506281,0.17009451739358952
5,DeepLearning_1_AutoML_20190411_195635,0.17660370458756014,0.4202424354911819,0.17660370458756014,0.3532773767465049,0.1746479190001746
6,DRF_1_AutoML_20190411_195635,0.17903211264386495,0.4231218650032931,0.17903211264386495,0.33341323245367044,0.17284698851544372
7,DeepLearning_grid_1_AutoML_20190411_195635_model_1,0.1796000007549439,0.4237924028990419,0.1796000007549439,0.3477798188955665,0.17516187544262066
8,GBM_3_AutoML_20190411_195635,0.18226850594151198,0.4269291579893695,0.18226850594151198,0.3439977452826549,0.17426170641220254
9,GLM_grid_1_AutoML_20190411_195635_model_1,0.1840746167483606,0.4290391785703966,0.1840746167483606,0.3797592223457667,0.17634265443438327
10,GBM_2_AutoML_20190411_195635,0.18488636622920507,0.4299841464858967,0.18488636622920507,0.3477394388825585,0.17554086683773631
11,GBM_1_AutoML_20190411_195635,0.18530023872032106,0.4304651422825326,0.18530023872032106,0.3421117847517849,0.17589064902859802
12,GBM_4_AutoML_20190411_195635,0.1859261253212553,0.43119151814623546,0.1859261253212553,0.34488989304982753,0.1761329068030788
13,DeepLearning_grid_1_AutoML_20190411_195635_model_10,0.1862618486538006,0.4315806398041976,0.1862618486538006,0.34235274232646035,0.17436847081010695
14,XRT_1_AutoML_20190411_195635,0.18729819968269767,0.43277962022569605,0.18729819968269767,0.3328551459820143,0.17667491605079594
15,GBM_grid_1_AutoML_20190411_195635_model_5,0.19000064834925096,0.435890638061029,0.19000064834925096,0.3927217507712845,0.1771982825357003
16,DeepLearning_grid_1_AutoML_20190411_195635_model_4,0.1914605090686536,0.4375620059701866,0.1914605090686536,0.3615271707071157,0.1796205672124229
17,DeepLearning_grid_1_AutoML_20190411_195635_model_2,0.19157458380041356,0.4376923392069063,0.19157458380041356,0.341354702777327,0.17826786232797165
18,GBM_grid_1_AutoML_20190411_195635_model_1,0.19378755547477414,0.4402130796270985,0.19378755547477414,0.3976372260361602,0.17909223650044126
19,GBM_grid_1_AutoML_20190411_195635_model_3,0.19381245941582906,0.4402413649531686,0.19381245941582906,0.3975535281093629,0.1790828654185038
20,DeepLearning_grid_1_AutoML_20190411_195635_model_3,0.1941240531129632,0.4405951124478836,0.1941240531129632,0.37155416905345534,0.1906917892784241
21,GBM_grid_1_AutoML_20190411_195635_model_2,0.1964796880044665,0.4432602937377389,0.1964796880044665,0.40045165859405374,0.1803541674837432
22,GBM_grid_1_AutoML_20190411_195635_model_7,0.19742220553128986,0.4443221866295784,0.19742220553128986,0.4012579476108411,0.1807922090806057
23,GBM_grid_1_AutoML_20190411_195635_model_4,0.197598040191804,0.44452001101390703,0.197598040191804,0.4015754353655137,0.18088419652826426
24,GBM_grid_1_AutoML_20190411_195635_model_6,0.20355168734709367,0.4511670282136026,0.20355168734709367,0.3571063270854827,0.18603198045575228
25,DeepLearning_grid_1_AutoML_20190411_195635_model_8,0.2046021078216557,0.4523296450838212,0.2046021078216557,0.3538152580233448,0.18424207360257666
26,DeepLearning_grid_1_AutoML_20190411_195635_model_6,0.21209662380395647,0.46053949212196404,0.21209662380395647,0.362742862575119,0.1914922430492461
27,DeepLearning_grid_1_AutoML_20190411_195635_model_5,0.2122259292797196,0.46067985551760293,0.2122259292797196,0.3760314102474784,0.1911055272115041
