,,timestamp,duration,number_of_trees,training_rmse,training_mae,training_deviance
0,,2019-04-11 19:56:58, 0.391 sec,0.0,,,
1,,2019-04-11 19:56:58, 0.404 sec,1.0,0.5807966652410637,0.3446261682242991,0.3373247663551402
2,,2019-04-11 19:56:58, 0.415 sec,2.0,0.5541908580654537,0.32664756446991405,0.30712750716332377
3,,2019-04-11 19:56:58, 0.426 sec,3.0,0.5563342596854377,0.34543010752688175,0.309507808499744
4,,2019-04-11 19:56:58, 0.436 sec,4.0,0.542309289584157,0.3435356652949245,0.29409936556927313
5,,2019-04-11 19:56:58, 0.448 sec,5.0,0.5417773027670126,0.3564770554493307,0.29352264579349924
6,,2019-04-11 19:56:58, 0.459 sec,6.0,0.514910474468302,0.34021969696969684,0.2651327967171718
7,,2019-04-11 19:56:58, 0.470 sec,7.0,0.502079533100796,0.3425769686204854,0.25208385755871326
8,,2019-04-11 19:56:58, 0.480 sec,8.0,0.49018555938650976,0.34351956832115554,0.2402818826310655
9,,2019-04-11 19:56:58, 0.491 sec,9.0,0.47590885116720244,0.33999895572264,0.22648923461928644
10,,2019-04-11 19:56:58, 0.501 sec,10.0,0.4715658630871068,0.3386119378306879,0.22237436322908793
11,,2019-04-11 19:56:58, 0.512 sec,11.0,0.47008197860468043,0.3406629720853859,0.22097706660889121
