,,timestamp,duration,number_of_trees,training_rmse,training_mae,training_deviance
0,,2019-04-11 19:56:38, 0.868 sec,0.0,,,
1,,2019-04-11 19:56:38, 0.891 sec,1.0,0.5999614185126438,0.36342592592592593,0.3599537037037037
2,,2019-04-11 19:56:38, 0.904 sec,2.0,0.5959685993645735,0.37357142857142855,0.35517857142857145
3,,2019-04-11 19:56:38, 0.916 sec,3.0,0.5780929483250314,0.3703279938977879,0.3341914569031275
4,,2019-04-11 19:56:38, 0.930 sec,4.0,0.5396779467764588,0.34653635116598086,0.2912522862368543
5,,2019-04-11 19:56:38, 0.941 sec,5.0,0.5285609832846272,0.3475648323845667,0.27937671305081196
6,,2019-04-11 19:56:38, 0.952 sec,6.0,0.5175729442397108,0.3449508901166359,0.2678817526089628
7,,2019-04-11 19:56:38, 0.966 sec,7.0,0.5032261278703473,0.3445893285371702,0.2532365357713831
8,,2019-04-11 19:56:38, 0.977 sec,8.0,0.4950933216135473,0.34527602191318996,0.24511739710633537
9,,2019-04-11 19:56:38, 0.989 sec,9.0,0.486862250493405,0.34543084611641456,0.237034850955503
10,,2019-04-11 19:56:38, 1.000 sec,10.0,0.4823692762543398,0.34947094068430495,0.23268011867413557
11,,2019-04-11 19:56:38, 1.012 sec,11.0,0.47994731119869266,0.3495218669675037,0.23034942152685475
