,,timestamp,duration,number_of_trees,training_rmse,training_mae,training_deviance
0,,2019-04-11 19:56:55, 0.979 sec,0.0,0.452101914498405,0.40879228218624497,0.2043961410931231
1,,2019-04-11 19:56:55, 0.997 sec,5.0,0.429861577105815,0.3852473932923829,0.18478097547189853
2,,2019-04-11 19:56:55, 1.009 sec,10.0,0.417291359157009,0.3667743179442339,0.17413207842710385
3,,2019-04-11 19:56:55, 1.019 sec,15.0,0.4114952792891372,0.35570057178647807,0.16932836487724504
4,,2019-04-11 19:56:55, 1.028 sec,20.0,0.4073157757795639,0.3463682398378951,0.16590614119890798
5,,2019-04-11 19:56:55, 1.037 sec,25.0,0.40464662780103067,0.3419112692975262,0.16373889339074585
6,,2019-04-11 19:56:55, 1.046 sec,30.0,0.4028384336419505,0.3375401994785355,0.16227880361910016
